S/N,Name,City,Address,Phone,Owner
70,HARİKA OTAĞ ECZANESİ,LEFKOŞA,Cebeci Sok. 25 İş Bankasi yanı Yenikent Gönyeli Lefkoşa,(0392) 224 04 15,Ecz. Harika Otağ
71,HAYAT ECZANESİ,LEFKOŞA,Girne Cad.Vakıflar Çarşısı No:2 Lefkoşa,(0392) 227 51 26,Ecz. Ersel Tüccaroğlu
72,HAZAL REİS ECZANESİ,LEFKOŞA,İplik Pazarı Lefkoşa,(0392) 228 65 05,Ecz. Hazal Reis
73,HÜSEYİN KERİM SAKALLI ECZANESİ,LEFKOŞA,"Şht. Yzb. Tekin Yurdabak Cad. Mardo Göçmenköy yolu, Yeni Yüzyıl Anaokulu yanı, Ortaköy, Lefkoşa",(0392) 228 46 00,Ecz. Hüseyin Kerim Sakallı
74,İMGE ECZANESİ,LEFKOŞA,"Yaman Bey Sokak No: 8, Göçmenköy, Lefkoşa (Şht. Yalçın İlkokulu Karşısı)",(0392) 223 59 51,Ecz. Halit Kavçın
75,İNANLI ECZANESİ,LEFKOŞA,Şht.Mustafa Ruso Cad.Dev.Sosyal K.Apt.Altı K.Kaymaklı,(0392) 227 23 90,Ecz. Ali İnanlı
76,İNCİRLİ ECZANESİ,LEFKOŞA,"46/A Kemal Şemiler Cad. Aydemet - Kermiya, Lefkoşa",(0392) 330 20 22,Ecz. Gülçin İncirli
77,İSMET ECZANESİ,LEFKOŞA,"Bedreddin Demirel Caddesi No: 92 Önder AVM karşısında Ticaret Odası yanı, Lefkoşa",(0392) 228 15 40,Ecz. İsmet Abohorlu
78,İZEM ECZANESİ,LEFKOŞA,İsmail Beyoğlu Cad. 44 / A Küçük Kaymaklı Lefkoşa Eray Garaj yanı,(0392) 228 00 40,Ecz. İzem Özvurulmuş
79,KAPTAN CAN ECZANESİ,LEFKOŞA,"Dokuz Yavuz Konnolu Sokak No: 11 B, Lefkoşa",(0392) 224 06 66,Ecz. Can Kaptan
80,KERMİYA ECZANESİ,LEFKOŞA,Kemal Şemiler Cad. N0:24 Kiler Market Çaprazı Zeyphyr Café yolu Metehan Kermiya,(0392) 223 34 83,Ecz. Mehmet Dümenci
81,KEZİBAN TİLKİ ECZANESİ,LEFKOŞA,Atatürk Cad. Yalçın park karşısı Gönyeli,(0392) 223 12 10,Ecz. Keziban Tilki
82,KIVANÇ UFUK ECZANESİ,LEFKOŞA,"Salih Mecit Sokak Mustafa Tunçbilek Apt. No: 10/A, Lefkoşa",(0533) 830 90 50,Ecz. Kıvanç Ufuk
83,KIZILBAŞ ECZANESİ,LEFKOŞA,"Kemal Aksay Cad. No: 43/2, Taşkınköy, Lefkoşa",(0392) 225 32 59,Dr. Ecz. Hasan İsfendiyaroğlu
84,KUZEY ECZANESİ,LEFKOŞA,Raif Denktaş Cad.No:35/5 Göçmenköy Lefkoşa,(0392) 223 19 81,Ecz. Dilek Bulut
85,LA PHARMA ECZANESİ,LEFKOŞA,Şht.Mustafa Mehmet Sok. 71/C Göçmenköy / Lefkoşa (Adıgüzel lastik servisi yanı Erel ahşap karşısı),(0392) 223 14 14,Ecz. Arda Özyol
86,LADEN AKBATUR ECZANESİ,LEFKOŞA,Bakanlıklar yolu Başbakanlık önü Selçuklu Cad. N0:46 Adıgüzel Apt. Zemin Kat Lefkoşa,(0392) 227 25 75,Ecz. Laden Akbatur
87,LAİKA GÖKÇEKUŞ ECZANESİ,LEFKOŞA,Belediye Bulvarı No:3713 Yenikent Gönyeli,(0392) 224 09 88,Ecz. Laika Gökçekuş
88,MALEK ECZANESİ,LEFKOŞA,"Yzb. Tekin Yurdabak Cad. Marmara Dış Kapı No: 16 A, İstanbul Perde yanı Marmara Bölgesi, Lefkoşa",(0392) 227 92 70,Ecz. Yağmur Malek
89,MERVE BİLLUR ECZANESİ,LEFKOŞA,Atatürk Cad. Mustafa Billur Apt. No:142 Gönyeli,(0392) 223 43 50,Ecz. Merve Billur
90,MİEL ECZANESİ,LEFKOŞA,"Aydemet Mahallesi, Nazım Himet Caddedi No: 46/B Blok F2, Lefkoşa",(0542) 889 00 09,Ecz. Selma Soylukal
91,MUSTAFA GÜRMAN ECZANESİ,LEFKOŞA,"Kemal Şemiler Cad. No: 6/B, Kermiya, Lefkoşa",(0392) 330 08 30,Ecz. Mustafa Gürman
92,MUSTAFA PEHLİVAN ECZANESİ,LEFKOŞA,"Şht. Ecvet Yusuf Cad. No: 88, Kızılbaş, Lefkoşa",(0392) 228 71 07,Ecz. Mustafa Pehlivan
93,NECATİBEY ECZANESİ,LEFKOŞA,"Osman Paşa Cad. No: 9/7, Domino Pizza yanı ve Hangover karşısı, Köşlüçiftlik, Lefkoşa",(0392) 228 14 78,Ecz. Ayfer Uzman
94,NERGİS ECZANESİ,LEFKOŞA,Şht.Mustafa Mehmet Sok.No:3 Yöntem Laboratuvar ve Trafik Işıkları yanı Göçmenköy Lefkoşa,(0392) 225 50 75,Ecz. Nazife Taşker
95,NERİMAN KARATAÇ ECZANESİ,LEFKOŞA,"Mimar Mehmet Vahip Cad. No: 39/2, Hamitköy ışıkları üzeri, Dumlupınar yolu, Küçük Kaymaklı, Lefkoşa",(0392) 225 45 00,Ecz. Neriman Karataç
96,NİLCAN YAVUZCAN ECZANESİ,LEFKOŞA,"Gazetesci Hasan Tahsin Caddesi Erönene İş merkezi Dükkan No: 36/4, Ortaköy, Lefkoşa",(0392) 223 23 33,Ecz. Nilcan Emine Avcın
97,OBA 2 ECZANESİ,LEFKOŞA,"Dr. Necmettin Erbakan Cad. No: 49, Domuzcular Burnu yolu, Elite Hastanesi önü, Küçük Kaymaklı, Lefkoşa",(0392) 227 13 11,Ecz. Enver Alibaba
98,OBA ECZANESİ,LEFKOŞA,"Gaz. Hasan Tahsin Cad. No: 79/D, Lemar (Molto) yolu, China-Bazaar karşısı, Lefkoşa",(0392) 223 71 01,Ecz. Şerife Alibaba
99,ORHAN BERKE ECZANESİ,LEFKOŞA,"Öğretmenler Cad. Hacı Ali Sitesi 3, Belça süpermarket arkası, Ateş kuruyemişleri arasından içeri, İrsen Küçük ortaokulu arkası, Ortaköy, Lefkoşa",(0392) 223 31 21,Ecz. Orhan Berke Bilokçuoğu
100,ORTAKÖY ECZANESİ,LEFKOŞA,Şht.Gaz.Hasan Tahsn Cad. Lemar (Molto )Yolu - Severse Döner Karşısı Ortaköy Lefkoşa,(0392) 330 32 00,Ecz. Didem Can
101,ÖZÇALIŞKAN ECZANESİ,LEFKOŞA,"Kamelya Sok. Dış Kapı No: 3/B, Yenikent, Lefkoşa",(0533) 889 19 98,Ecz. İzge Özçalışkan
102,ÖZERÇAL ECZANESİ,LEFKOŞA,Raif Dentaş Cad.Siyah Kuğu 1 Binaları Dük.N0:15/E Göçmenköy Lefkoşa,(0392) 223 97 31,Ecz. Öznevir Erçal
103,ÖZNEM KILINÇKINI ECZANESİ,LEFKOŞA,Mehmet Akif Cad.Golden Tulip Hotel karşısı Dereboyu Lefkoşa,(0392) 227 11 10,Ecz. Öznem Kılınçkını
104,ÖZYOL ECZANESİ,LEFKOŞA,Şaziye Hacı Maltızlar Cad.No:2/ 4 Ortaköy Lefkoşa,(0392) 223 21 31,Ecz. Haldun Özyol
105,PAPATYAM ECZANESİ,LEFKOŞA,Şht.Gültekin Şengör Sok. Dük.No:3/4 little İtaly Pizza Karşısı Kumsal Lefkoşa,(0392) 228 23 30,Ecz. Hande Madi
106,PERVİN ECZANESİ,LEFKOŞA,"Haydar Aliyev Cad. Berber Tarlası Dük. No: 12/C, Hz. Ebubekir Cami Çaprazı, Türk Hava Yolları karşısı, Küçük Kaymaklı, Lefkoşa",(0392) 225 28 18,Ecz. Pervin Ayrancıoğlu
